ID_kinopoisk;screens;budget;age_R;time;box_budget;rating;box;views;rezult;rezult4
1049115;89;60000000;16;95;0,01;4,7;344000;1800;0;0
4299304;12;79817750;6;82;0,29;7,5;35000;124;0;0
4326621;77;10000000;6;89;0,72;6,6;7200000;60000;0;0
1405926;1811;247336000;12;104;2,17;6,7;536000000;1900000;1;2
1395847;1197;180000000;12;119;0,34;4,9;62000000;233000;0;0
1345722;1170;79817750;16;127;0,29;6,6;56000000;219000;0;0
1189865;1110;120000000;16;109;0,27;5,9;32000000;115000;0;0
1378954;58;25714000;16;89;0,07;7,2;1900000;6300;0;0
2044847;184;100000000;16;91;0,01;5,2;812000;3500;0;0
4418992;25;5500000;12;95;1,18;7,2;6500000;25000;0;1
1313593;969;50000000;18;87;0,44;4,8;22000000;85000;0;0
1112308;38;61538500;16;86;0,01;6;921000;3800;0;0
1142206;1877;110000000;6;110;3,2;7,3;352000000;1600000;1;3
4312553;1534;361282000;6;104;0,22;7,8;81000000;397000;0;0
4365812;22;79817750;12;48;0,29;6,3;1000000;2400;0;0
4420961;18;1500000;12;75;1,73;6;2600000;9100;0;1
4382053;345;79817750;16;80;0,29;6;834000;2800;0;0
1162783;393;50000000;16;86;0,1;6,2;5000000;16000;0;0
4394762;15;79817750;12;59;0,29;6;1400000;3300;0;0
1301680;63;64300000;16;91;0,01;5,5;787000;2600;0;0
667893;56;104144000;16;81;0,01;4,4;916000;3800;0;0
1109271;1926;368270500;12;136;0,89;7,1;329000000;1200000;0;0
1214042;25;79817750;12;85;0,29;7,2;387000;1600;0;0
1445243;920;79817750;16;96;0,29;6,7;16000000;59000;0;0
1209777;400;79817750;16;128;0,29;7,9;16000000;48000;0;0
1006642;8;79817750;16;93;0,29;7,8;47000;155;0;0
4432514;15;3200000;12;107;4,06;6;13000000;42000;1;3
1239328;1318;79817750;12;83;0,29;4,5;14000000;70000;0;0
1227958;45;79817750;18;97;0,29;6;684000;2000;0;0
1249198;2093;689000000;12;136;0,57;4,9;390000000;1500000;0;0
4319755;11;79817750;16;60;0,29;5,9;111000;295;0;0
1243146;6;79817750;16;98;0,29;6,4;29000;110;0;0
1313587;820;100000000;16;85;0,06;4,3;6100000;24000;0;0
1275514;21;38461000;12;92;0;5,7;123000;1600;0;0
1115019;22;37700000;12;80;0;5,4;33000;104;0;0
1249213;1909;625253243;12;118;0,51;6,3;317000000;1200000;0;0
4417900;881;79817750;0;60;0,29;6;6000000;29000;0;0
1354105;2034;120000000;16;91;0,29;4,4;324000000;1200000;0;0
1234852;23;176250000;16;88;0;5,7;355000;1300;0;0
1281999;311;147308200;16;98;0,04;7,3;5400000;18000;0;0
1338239;369;79817750;16;83;0,29;7,2;2300000;8200;0;0
1162915;37;79817750;16;82;0,29;6;294000;1000;0;0
1219140;27;10000000;18;110;0,02;5,7;249000;527;0;0
4453523;15;79817750;16;77;0,29;6;138000;627;0;0
4322000;74;79817750;16;75;0,29;5;137000;681;0;0
1392597;119;79817750;16;75;0,29;7;2100000;6400;0;0
1291214;180;26000000;16;87;0,28;6,1;7200000;24000;0;0
4453518;7;79817750;18;109;0,29;6;55000;183;0;0
4470136;20;79817750;16;97;0,29;6;30000;159;0;0
1355076;90;79817750;6;65;0,29;6;1200000;9600;0;0
4299813;961;11000000;0;63;3,64;8,4;40000000;215000;1;3
1115648;1364;50097486;16;98;0,32;7,1;16000000;67000;0;0
1338531;17;79817750;16;102;0,29;6;10000;69;0;0
4453165;821;79817750;0;54;0,29;6;5100000;35000;0;0
1426216;879;79817750;16;92;0,29;5,5;5800000;23000;0;0
4453528;3;79817750;16;72;0,29;6;4000;17;0;0
1445060;120;38000000;16;92;0,01;4,9;242000;1100;0;0
4411309;1188;79817750;16;82;0,29;5,5;20000000;78000;0;0
1305913;1797;135000000;16;96;0,37;6,8;50000000;194000;0;0
4474046;32;79817750;16;85;0,29;2,2;2100000;5300;0;0
1274273;36;79817750;16;117;0,29;6;43000;159;0;0
1402934;365;79817750;16;107;0,29;5,4;2200000;7400;0;0
1297266;247;79817750;16;108;0,29;4,3;655000;2600;0;0
4467719;11;79817750;12;67;0,29;6;21000;68;0;0
4450231;760;135000000;16;87;0,18;6,8;24000000;94000;0;0
4505456;23;79817750;12;63;0,29;8,2;97000;392;0;0
4421024;149;79817750;6;90;0,29;6;559000;3800;0;0
1198735;1103;112098000;12;90;0,12;6,1;13000000;54000;0;0
1346362;150;97745000;12;118;0,01;6,2;904000;8400;0;0
4390405;1688;79817750;12;87;0,29;4,8;60000000;257000;0;0
1263423;495;79817750;18;145;0,29;6,9;41000000;120000;0;0
1445176;788;79817750;18;88;0,29;4,9;50000000;183000;0;0
4526542;774;79817750;0;45;0,29;6;7600000;48000;0;0
4326876;134;5000000;12;90;0,26;6,5;1300000;6900;0;0
1451342;77;79817750;16;106;0,29;6,3;1300000;3600;0;0
1338096;287;79817750;6;92;0,29;5,8;2000000;9400;0;0
4528844;6;79817750;16;103;0,29;6;111000;370;0;0
1219003;409;170000000;16;104;0,04;5,7;6800000;25000;0;0
1046057;363;79817750;16;119;0,29;6,5;7400000;26000;0;0
1421574;156;79817750;12;97;0,29;6,9;4000000;12000;0;0
1392783;29;79817750;12;110;0,29;6;56000;252;0;0
4640143;69;79817750;6;52;0,29;6;445000;2800;0;0
1388416;52;79817750;12;93;0,29;6,5;296000;892;0;0
1437864;189;79817750;16;104;0,29;4,9;1700000;6400;0;0
4444907;69;38500000;12;105;0;6;53000;308;0;0
4522317;51;79817750;16;78;0,29;4,1;145000;592;0;0
4533253;156;79817750;16;80;0,29;6,7;6100000;19000;0;0
4463980;8;79817750;18;80;0,29;7,1;1800000;4200;0;0
1311544;237;45100000;18;116;0,08;6,1;3400000;11000;0;0
4533401;541;79817750;0;45;0,29;6;4100000;26000;0;0
1421579;19;79817750;18;97;0,29;6;38000;128;0;0
1046034;351;218800000;12;168;0,02;7,2;3400000;13000;0;0
1412230;1629;79817750;16;87;0,29;4;54000000;201000;0;0
4539790;7;79817750;18;108;0,29;6,2;282000;733;0;0
4641840;17;79817750;16;102;0,29;6,3;1500000;4500;0;0
1243139;1722;200200000;6;90;0,69;7,5;139000000;687000;0;0
1445141;613;60000000;16;92;0,14;4,3;8300000;32000;0;0
4642838;49;43000000;16;92;0;6;154000;726;0;0
4708967;27;79817750;16;106;0,29;6;3300000;11000;0;0
1330041;841;92100000;16;78;0,2;4,9;18000000;65000;0;0
1325605;1383;70000000;16;102;0,24;5,6;17000000;63000;0;0
1437854;70;79817750;18;139;0,29;5,9;716000;1700;0;0
986636;1607;245000000;0;70;0,07;7,5;16000000;75000;0;0
1390618;31;79817750;18;80;0,29;5,1;239000;672;0;0
1421591;1741;132000000;12;126;1,03;7,2;136000000;521000;0;1
1346514;301;198866070;16;103;0,07;6,8;14000000;42000;0;0
2046399;112;40000000;16;88;0,02;6,6;803000;3000;0;0
4534956;108;79817750;16;94;0,29;5,7;517000;1200;0;0
1115468;1695;120000000;16;105;0,57;5,7;68000000;242000;0;0
1405968;1662;319000000;12;105;0,18;7,4;58000000;227000;0;0
4550516;21;79817750;0;90;0,29;5,9;148000;1200;0;0
4456630;253;79817750;12;97;0,29;4,8;777000;3100;0;0
4463981;40;40000000;18;85;0;5,4;174000;655;0;0
2044846;663;79817750;16;98;0,29;5,9;9300000;31000;0;0
4667996;140;79817750;6;84;0,29;5,3;557000;3200;0;0
4298812;124;79817750;16;124;0,29;5,8;565000;1600;0;0
4679793;14;79817750;0;85;0,29;6;44000;377;0;0
4533354;1100;180000000;6;93;0,39;3,2;70000000;247000;0;0
1354896;15;79817750;6;105;0,29;5,7;59000;273;0;0
1272246;2189;454280000;6;108;5,06;6,7;2300000000;7500000;1;3
1249233;1964;700000000;6;145;0,61;6,9;430000000;1300000;0;0
4419497;2042;180000000;6;87;2,53;7,4;456000000;1700000;1;2
4403000;1306;79817750;12;74;0,29;4,9;67000000;210000;0;0
1115454;281;164830000;16;107;0,01;6,1;1500000;3900;0;0
4449009;904;79817750;16;96;0,29;6,3;86000000;268000;0;0
968618;500;202430000;12;98;0,03;4,7;5600000;17000;0;0
1354084;75;79817750;16;88;0,29;5,2;578000;2000;0;0
1183602;100;50000000;16;95;0,01;4;591000;2600;0;0
1113006;265;79817750;6;86;0,29;5,4;1600000;6500;0;0
1311545;24;79817750;18;96;0,29;5,3;60000;194;0;0
4491071;707;180000000;12;111;0,02;4,8;3700000;17000;0;0
4552644;34;79817750;18;73;0,29;7;1300000;3700;0;0
4789591;973;79817750;16;116;0,29;6,3;31000000;108000;0;0
1161475;190;38460000;16;95;0,06;4,6;2300000;6600;0;0
4517648;21;79817750;18;104;0,29;6,9;792000;1500;0;0
4290071;1990;78130900;12;115;3,92;6,3;306000000;1100000;1;3
1320548;30;60000000;6;84;0;6,2;81000;403;0;0
4507680;21;79817750;16;89;0,29;3,7;26000;148;0;0
4491514;1092;79817750;12;88;0,29;5,6;15000000;55000;0;0
1338453;1914;310317945;12;121;0,49;6,1;153000000;524000;0;0
1249218;1509;600000000;12;121;0,07;6,9;43000000;160000;0;0
1390626;840;358114000;6;94;0,11;6,9;40000000;166000;0;0
1431128;139;79817750;16;96;0,29;5;1400000;4000;0;0
4729319;22;79817750;16;98;0,29;6;6300000;20000;0;0
1274274;1233;79817750;6;107;0,29;6,3;38000000;131000;0;0
4841224;8;79817750;16;99;0,29;7;14000;2300;0;0
1234853;1929;150000000;12;117;1,98;7,6;297000000;1000000;0;1
1412483;2;79817750;12;83;0,29;6,4;33000;82;0;0
4856073;33;79817750;16;97;0,29;7,8;1600000;1500;0;0
4830642;59;79817750;16;80;0,29;5,8;214000;802000;0;0
4467988;2049;79817750;12;106;0,29;5,9;238000000;50;0;0
4528801;1753;79817750;16;93;0,29;1,6;26000000;30000;0;0
1387136;67;79817750;12;86;0,29;6;697000;15000;0;0
4756142;273;79817750;12;68;0,29;6;3800000;90000;0;0
1445167;1837;120000000;6;76;0,67;5,5;80000000;1700;0;0
4742512;2102;350000000;6;85;1,23;7,8;430000000;1800000;0;1
4681792;77;79817750;16;142;0,29;6;140000;593;0;0
4428575;7;79817750;16;84;0,29;6;17000;39;0;0
1431114;3;38500000;12;74;0;5,4;27000;94;0;0
4550354;339;79817750;16;59;0,29;5,5;11000000;42000;0;0
1278046;349;82000000;16;91;0,04;6;3300000;12000;0;0
4853049;2174;79817750;6;90;0,29;6;93000000;394000;0;0
1263667;102;45100000;16;94;0,07;5,6;3200000;11000;0;0
1354764;1863;79817750;12;84;0,29;6;16000000;57000;0;0
4324950;637;79817750;16;109;0,29;6,9;18000000;59000;0;0
4903616;59;79817750;16;90;0,29;6;501000;1500;0;0
4907342;1160;79817750;12;79;0,29;6,6;50000000;176000;0;0
1390671;46;79817750;16;102;0,29;5,8;126000;383;0;0
4929714;27;2500000;6;95;2,84;6;7100000;22000;1;2
4929832;106;79817750;18;86;0,29;6;2200000;7000;0;0
4902867;853;79817750;16;116;0,29;4,9;12000000;40000;0;0
1251147;967;79817750;16;101;0,29;6,5;9700000;33000;0;0
1405778;551;135000000;18;137;0,26;7,8;35000000;103000;0;0
1451291;2044;290000000;12;114;0,26;6,4;74000000;272000;0;0
882288;2144;390180000;6;85;0,08;6;32000000;135000;0;0
